gene1,gene2,gene3,gene4,gene5,gene6,gene7,gene8,gene9,gene10,gene11,gene12,gene13,gene14,gene15,gene16,gene17,gene18,gene19,gene20,gene21,gene22,gene23,gene24,gene25,gene26,gene27,gene28,gene29,gene30,gene31,gene32,gene33,gene34,gene35,gene36,gene37,gene38,gene39,gene40,gene41,gene42,gene43,gene44,gene45,gene46,gene47,gene48,gene49,gene50,gene51,gene52,gene53,gene54,gene55,gene56,gene57,gene58,gene59,gene60,gene61,gene62,gene63,gene64,gene65,gene66,gene67,gene68,gene69,gene70,gene71,gene72,gene73,gene74,gene75,gene76,gene77,gene78,gene79,gene80,gene81,gene82,gene83,gene84,gene85,gene86,gene87,gene88,gene89,gene90,gene91,gene92,gene93,gene94,gene95,gene96,gene97,gene98,gene99,gene100
0.937436235,-0.335310991,0.727945329,3.542826337,-3.150771949,1.177098882,-2.601919101,2.109755319,1.882702032,3.316303406,0.531670615,-1.075791483,2.610524141,0.40880016,1.662170512,1.614927368,0.629757228,0.184061123,1.904293326,2.170104534,-1.892296866,0.033764186,0.849857795,1.977787424,0.032999195,-3.04738035,-2.602742919,-1.806048408,1.435697676,-1.069591758,-0.221736195,3.023120354,2.506347622,-2.371248593,0.889254095,1.002235996,-0.730784308,0.105516045,-1.715086726,-0.430858808,1.069052281,0.23175434,0.077450412,0.209941441,2.349066698,-1.4611675,-1.814078712,-1.305220943,-0.324088335,1.650185901,-3.098292689,1.791102929,2.395446613,-1.911681132,0.400634973,-2.354658074,-0.186416104,-2.61142146,-0.42453013,-0.787399345,-0.382851534,-0.317193242,-0.678651165,-1.126410081,-1.191998253,-2.830234362,2.593852343,1.926000858,2.178102717,0.543035,3.446854006,2.038273351,-0.387945674,0.958951733,-0.580912875,0.427129987,-2.638698219,2.160196311,1.804136095,-1.707625554,0.031807364,-1.855203415,-0.178013575,1.598612607,-0.639508873,3.071397856,-1.941657863,1.977400967,-1.202850646,-2.315361068,-0.158821199,-1.194413687,2.657632029,1.611028126,-0.939865399,0.09013093,0.220706625,-0.323220924,-0.192281138,-1.261320963
0.490916673,0.221235485,-0.479459537,-1.009928695,0.959304657,1.252415716,0.408498448,1.078362937,-2.499074773,-1.561233785,-0.432536978,1.799332148,-0.11143702,-0.641775069,-1.095163842,-0.223429291,-2.122217811,0.325197998,0.359131425,0.177481169,-0.312747112,0.805353194,-1.088706018,0.440972643,0.163482545,2.658184964,2.197710997,0.429188669,0.649599769,-0.538476884,1.227076716,-1.445484346,-1.313908387,2.343547705,-0.41896667,-1.548035704,1.205997003,1.680430717,0.107011367,-0.988944609,-1.439158839,0.601826823,2.08169823,-0.646468423,0.617947118,-0.191015852,0.477420062,2.489052172,-0.410848308,-1.600400098,1.710337846,-2.314527361,-0.243494763,1.400582361,-0.734005177,1.291141904,-2.034556069,0.885827704,-1.83049477,-0.748248548,-1.341509461,0.433207455,2.116340863,-0.865853432,-0.482355635,0.706989886,-0.902963332,-0.448514095,-0.294068362,0.963371533,-0.847732238,-2.158535502,-1.176484477,-1.735978993,0.037680851,1.26310987,0.789722447,-0.402596135,-0.742829654,2.05307207,-0.076998815,-0.092545789,0.323134684,0.821868615,0.242712372,-1.340252854,1.14785766,0.436211965,-1.340978338,0.897713648,-0.937176183,2.408341712,-1.193361606,-1.263746115,1.049048296,0.784383839,0.074286961,-0.425459927,0.070350384,1.651926042
-2.296936607,-0.652875927,1.741634804,-1.37811469,1.784811606,-2.416233253,2.061685043,-0.939768288,0.998364377,-0.82562251,1.315419966,-1.318970954,-0.944499397,0.008625332,-0.416542243,-0.753920736,-0.066302693,-0.095348686,-1.724504414,-2.485164095,0.895461204,-0.957916679,0.934378738,-0.685773727,-0.187490113,0.139877395,1.102160661,2.363148496,-2.606139793,0.611658537,-0.709747121,-0.536925656,-0.347772605,0.216203267,-0.231811959,-0.41603839,-0.838387606,-1.305572227,-0.188467548,2.216212746,-0.117806509,-0.728026972,-1.124900552,-0.885467627,-1.045427852,1.411552902,1.300437196,-1.348318275,-1.32118448,-0.708968167,1.68488163,1.333283204,-1.039403651,0.191286291,0.163725458,0.675371809,2.242092038,2.249751114,1.954296025,2.119379262,-0.306305838,-1.104160374,-2.107171616,1.390999993,-0.238758069,-0.096825953,-1.321118193,-1.424866015,-1.005022506,-0.307271343,-0.704009498,1.070713835,0.030865724,1.076611073,0.40724924,0.101064616,2.116889864,-1.009311586,-0.964852487,1.089006294,-1.398821008,1.121616201,1.681945177,-0.581608646,2.096364408,-1.256016692,-0.509836246,0.277519575,2.580117737,2.193328944,1.5843511,-0.099257973,-1.348363362,-0.961262958,1.179235679,0.708499825,0.453879917,1.966648603,-1.341925109,0.734625868
-0.661691344,-1.537427335,0.684217161,1.187199474,-0.754032528,-0.091545837,-0.594424623,1.106954348,0.247617649,0.188844963,1.615016516,-0.101842231,1.317756633,0.181391519,-0.846882807,-0.493905502,-0.101662484,0.57495264,0.987497188,-0.582999269,-0.324626865,-1.241715215,-0.478646274,1.158100037,1.158642975,-0.59419629,-0.199486634,0.657251829,-0.521978798,0.617675878,-0.631576782,0.584239475,0.845457965,-0.451998827,1.179066908,0.376869734,-1.302459779,-0.614222871,-1.218844425,0.076812422,-0.569632689,1.057562507,-0.330926655,-0.691586246,0.961595162,-1.017192256,-0.949752037,-0.44198708,-0.839638807,-0.464048491,-0.121111791,0.345227896,0.047371898,0.608977999,-0.938906403,-0.862588601,0.303084442,0.42803104,0.061767409,1.227923415,-0.482339455,0.25941677,-0.80200789,-0.887725284,-1.266350835,-0.621591915,0.50355022,0.920906659,-0.545724062,1.353597675,1.135674316,0.44642923,-0.26612106,0.871653532,1.084992491,0.581342917,0.492450193,-0.234579828,0.337292195,0.296295856,-1.46284735,0.307822876,0.325267633,0.939752962,0.487345414,0.431080059,-0.63202598,1.016025436,0.285363808,0.718928242,1.363744922,-0.20119079,-0.378511607,-0.789806559,1.352711943,-0.203864752,0.723229937,1.382277341,-1.576494359,-0.221610677
0.482526639,-0.924992148,-0.744219732,0.685171265,-0.361502524,0.48568013,-0.919548231,-0.12112688,0.099105765,0.038616292,0.452491376,-0.094380067,1.124220818,1.293290061,-1.051715223,-1.497364278,0.899994081,-0.564006514,0.928358453,-0.185154762,1.095882338,-0.78711659,-0.997140481,-0.282638144,1.414857134,-0.188939015,-0.550640629,-0.253706163,-0.359255309,0.812799931,-1.493133051,-0.704616797,-0.424085861,0.092312096,0.584932077,0.266541642,-1.510474353,-1.267314604,0.457316428,-0.808858213,0.317733429,1.329920435,-0.349040512,-0.880302143,0.639222398,-1.195529608,-1.359874964,-0.485149422,0.819530897,0.488987007,-0.467794702,-0.323223589,-1.203361555,0.683632973,-1.554918453,0.049793853,0.070675923,-0.106240457,0.428948983,0.758145227,0.989724679,1.426772972,-0.089393048,-1.257104031,-1.034287634,0.578094411,-0.383221647,1.300741319,-0.951459592,0.504901184,-0.298564181,0.111804232,-0.298997322,-0.130233219,0.923851315,0.44130875,0.008267567,0.064997336,-0.591141358,-0.473669421,-0.220950865,0.031397255,-0.626504554,0.796287228,-0.578308622,-0.454051733,-0.646312311,-0.469353763,0.115266477,0.267150698,1.206498832,-0.878514591,0.026082699,0.04690571,0.899608861,-0.999714809,-0.633456762,0.325513976,-1.196113101,-1.230785279
-0.173785722,1.408478732,-0.482609644,-2.170548422,1.820807035,-1.249273629,1.58808465,-2.588569376,0.536049936,-0.676835661,-1.398572184,-0.775192832,-2.126629642,0.364456976,0.595801039,-0.423675763,0.993979798,-1.127891919,-2.081052327,-0.724309945,1.621056189,0.70034273,0.803065031,-2.387578785,-1.123425711,0.485730206,0.269981286,0.15824209,-0.924243188,0.100672145,-0.34140805,-1.332130563,-1.441847481,0.403901307,-1.444331488,-0.246176709,0.579592444,-0.716308194,1.971796605,0.848450309,1.0689792,-1.406727386,-0.806210682,0.410640518,-2.061843262,1.765411185,1.428764437,-0.663221783,1.080406796,0.710009974,0.670371167,0.341512469,-1.271750246,-0.555980013,0.878131197,1.431276988,1.171814416,0.473770716,1.486133024,-0.126042071,1.372966105,-0.317983625,-0.339867997,1.719491655,1.562625581,1.293907253,-1.500892902,-1.490609404,-0.338385213,-2.106287897,-2.237863224,0.170781551,0.700508489,-0.397556634,-0.822335478,-1.043887581,0.417043925,-0.337669431,-1.12552133,-0.476026497,1.308980707,0.420734559,-0.080516729,-1.722496438,-0.002510955,-1.358385899,0.395561514,-1.902735116,1.310852509,0.149259266,-0.402628873,-0.639432861,-0.134752044,0.77684845,-1.141675936,-0.096903636,-1.063632285,-0.733745404,1.120086593,-0.168352086
-0.903080884,0.182840616,1.2977429,-0.280091196,0.535178773,-0.872187289,0.818810946,0.187329417,0.706894526,0.349137028,0.362779262,-0.860407379,-0.203754812,-0.236477386,0.594541187,0.504622151,-0.51144215,-0.058898684,-0.810453225,-0.52115731,-0.310457612,0.17802472,1.069617949,0.102849959,-0.729220368,-0.187474437,0.47231566,0.820454502,-0.811772786,-0.579878645,0.203402633,0.382299924,0.179766432,-0.005447246,-0.46260111,-0.541964349,0.146250934,0.024466109,-0.452665326,1.205433214,0.150486724,-0.846189327,0.05453073,-0.387828877,0.044336792,0.882769615,0.841807635,-0.573631521,-1.023973147,-0.138918183,0.474005281,0.984280769,0.387550191,-0.638873558,0.650670363,0.18273081,0.79853036,0.584222385,0.597388826,0.37119818,-0.763481067,-1.11694933,-0.86469811,0.754883722,-0.246545532,-0.983947774,-0.23801248,-0.854194062,0.518595648,-0.292951519,0.372388483,0.861565005,-0.401656398,0.338752039,-0.524697507,0.397673863,0.398338124,0.221946353,-0.195688675,0.618848414,-0.418137466,-0.198011875,1.22757575,0.097771378,1.220660469,-0.067334855,-0.584728299,0.9122567,0.803279168,0.519031698,0.093121279,0.33958435,0.006316317,-0.047470811,0.111522221,1.039453687,0.235800402,0.566032802,-0.272966376,0.737954943
-2.426914153,-0.477812192,1.92050707,-0.777837708,0.576761555,-2.321652506,1.791263716,-0.223115292,0.72811213,-0.615491714,1.344746686,-0.471169757,-1.486027591,-1.741295304,0.417417845,1.11128038,-0.492355603,1.445049082,-1.422051734,-1.687850633,-1.035883422,-0.920994645,1.177833499,0.654037316,-0.888977385,-0.60569233,0.513834589,1.87971619,-1.173406727,0.486247879,0.97800687,1.287387439,1.382779198,-1.088127708,0.465688221,0.662559055,0.402607229,0.148876052,-1.499460222,2.212848724,-0.945090862,-1.268784069,-1.329906788,0.992636982,-1.529887994,1.474277595,1.591205503,-0.65422693,-1.918497168,-1.255365486,1.083692326,1.467853966,0.940758247,-0.166033679,1.600028406,-0.887739231,1.6506996,1.481642161,0.72664648,1.228364778,-1.102428814,-2.053353069,-1.864679213,2.061528971,1.111513131,-0.606965551,0.591539409,-1.606628394,-0.170461485,0.047531176,0.6862735,0.627709612,1.254939467,2.018827259,0.251490769,-1.155494201,1.484422707,-1.377690786,1.042631439,0.634801835,-1.488607532,1.479389328,1.185141113,-1.571135151,1.630884724,0.625591563,0.644313923,0.644730687,1.627395117,1.0680801,0.468491929,0.187523841,-1.194023942,-1.155642326,0.042104346,0.684984673,1.867030909,1.677554297,0.047606771,1.259294061
0.091311072,-1.671973541,-0.350316065,1.026389729,-0.876913367,1.148330951,-1.002281953,1.779057883,-1.619797203,-0.876065501,1.314789278,1.617326981,1.380301965,-0.344681856,-1.78547587,-0.658682612,-0.990436448,1.1625485,1.860206025,-0.080382756,-0.674103272,-1.066397814,-1.799510428,1.685641307,1.723111548,0.782437752,0.553681954,0.338640688,0.57884067,0.788976337,0.160597439,-0.06171661,0.426287669,0.522738776,1.526274315,0.166635385,-0.638526747,0.486931087,-1.225301511,-1.24683245,-1.687455248,1.951189288,0.654623046,-0.467715656,1.219887019,-1.787094529,-1.276723163,1.383716353,-0.572923092,-1.41360401,0.388599221,-1.516731052,0.019342802,1.815508626,-1.586159175,-0.671523244,-1.399051353,0.443458683,-1.548402694,0.549493059,-0.884893137,1.085806561,0.878604664,-1.796318671,-1.195286592,0.301650918,0.582572359,1.288484655,-0.985255752,2.274171879,0.776938701,-1.361732838,-0.388567389,-0.006655243,1.560045512,0.779883442,0.61827604,-0.742193328,0.489066237,0.938368258,-1.401677623,0.53688232,-0.39685744,1.178879571,-0.23920268,0.139093785,0.576474773,0.778164129,-1.108470115,0.7380642,0.730119619,0.90457038,-1.077750221,-1.586217498,1.768558425,-0.521347114,0.968051476,0.874083317,-1.240865234,0.261528113
-0.457744486,0.087328571,-0.476068684,-1.300434415,1.081992669,-1.006930567,0.952433912,-1.734676274,0.139009929,-0.984126865,-0.224042034,-0.199513525,-1.240247298,0.261809471,-0.427513507,-0.89497642,0.890328733,-0.359983475,-1.01061068,-1.064861284,1.302513738,-0.394167686,-0.121831697,-1.370984952,0.051136114,0.319506296,0.141609875,0.489239134,-0.904873747,0.911565067,-0.610623448,-1.017792325,-0.786356914,0.120362496,-0.231462034,0.313091111,-0.270545478,-0.944983143,1.050828334,0.420796289,0.224913395,-0.242535216,-1.056617225,0.235733038,-1.514450657,0.669255971,0.50595417,-0.467700041,0.685513516,0.060609198,0.627512597,-0.000599306,-1.283212791,0.395866708,-0.020090131,0.628317441,0.935611528,0.74855802,1.049998413,0.663852518,1.108840598,0.245431833,-0.48168464,0.825302009,0.882759791,1.355265389,-0.928729016,-0.578082345,-1.081903314,-0.774996919,-1.528801489,-0.144867435,0.81602487,0.203311414,0.34477154,-0.892816103,0.842129221,-0.896668101,-0.620382303,-0.30227417,0.20419801,0.981567791,-0.347726518,-1.223108855,-0.086189864,-0.984073904,0.503072914,-1.49384347,1.11921262,0.615070187,0.514631338,-0.685981746,-0.724055316,-0.111443826,-0.085186597,-0.665846401,-0.323123073,0.182800516,0.12932474,-0.382430907
